Title Number,Question Number,Title,Question,Choice1,Choice2,Choice3,Choice4,Answer,Image Filename
1,42,Regulations,General Amateur Operator Certificates of Competency and callsigns are issued pursuant to the Regulations by the:,New Zealand Association of Radio Transmitters (NZART),"Ministry of Business, Innovation, and Employment Approved Radio Examiners",Department of Internal Affairs,Prime Minister's Office,1,
1,43,Regulations,To replace a written copy of your General Amateur Operator Certificate of Competency you should:,Apply to an Approved Radio Examiner to re-sit the examination,Download an application form from the Department of Internal Affairs website,Download an application form from the Ministry's website (or have an Approved Radio Examiner do this for you),Download and print one from the official database (or have an Approved Radio Examiner do this for you),3,
1,44,Regulations,A General Amateur Operator Certificate of Competency holder must advise permanent changes to postal and email addresses and update the official database records within:,One Calendar month,7 days,10 days,one year,0,
1,45,Regulations,A General Amateur Operator Certificate of Competency:,expires after 6 months,contains the unique callsign(s) to be used by that operator,is transferable,permits the transmission of radio waves,1,
1,46,Regulations,A General Amateur Operator Certificate of Competency is normally issued for:,1 year,5 years,10 years,life,3,
1,47,Regulations,A licence that provides for a given class of radio transmitter to be used without requiring a licence in the owner’s own name is known as:,a repeater licence,a general user radio licence,a beacon licence,a reciprocal licence,1,
1,48,Regulations,The holder of a General Amateur Operator Certificate of Competency may permit anyone to:,use an amateur radio station to communicate with other radio amateurs,pass brief messages of a personal nature provided no fees or other consideration are requested or accepted,operate the amateur station under the supervision and in the presence of a qualified operator,"take part in communications only if prior written permission is received from the Ministry of Business, Innovation, and Employment",1,
1,49,Regulations,International communications on behalf of third parties may be transmitted by an amateur station only if:,prior remuneration has been received,such communications have been authorised by the countries concerned,the communication is transmitted in secret code,English is used to identify the station at the end of each transmission,1,
1,50,Regulations,"The term ""amateur third party communications"" refers to:",a simultaneous communication between three operators,the transmission of commercial or secret messages,messages to or on behalf of non-licensed people or organisations,none of the above,2,
1,51,Regulations,The Morse code signal SOS is sent by a station:,with an urgent message,in grave and imminent danger and requiring immediate assistance,making a report about a shipping hazard,sending important weather information,1,
1,52,Regulations,"If you hear distress traffic and are unable to render assistance, you should:",maintain watch until you are certain that assistance is forthcoming,enter the details in the log book and take no further action,take no action,tell all other stations to cease transmitting,0,
1,53,Regulations,The transmission of messages in a secret code by the operator of an amateur station is:,permitted when communications are transmitted on behalf of a government agency,permitted when communications are transmitted on behalf of third parties,permitted during amateur radio contests,not permitted except for control signals by the licensees of remote beacon or repeater stations,3,
1,54,Regulations,Messages from an amateur station in one of the following are expressly forbidden:,ASCII,International No. 2 code,Baudot code,secret cipher,3,
1,55,Regulations,"The term ""harmful interference"" means:",interference which obstructs or repeatedly interrupts radiocommunication services,an antenna system which accidentally falls on to a neighbour's property,a receiver with the audio volume unacceptably loud,interference caused by a station of a secondary service,0,
1,56,Regulations,"When interference to the reception of radiocommunications is caused by the operation of an amateur station, the station operator:","must immediately comply with any action required by the Ministry of Business, Innovation, and Employment to prevent the interference",may continue to operate with steps taken to reduce the interference when the station operator can afford it,may continue to operate without restrictions,is not obligated to take any action,0,
1,57,Regulations,An amateur radio operator may knowingly interfere with another radio communication or signal:,when the operator of another station is acting in an illegal manner,when another station begins transmitting on a frequency you already occupy,never,when the interference is unavoidable because of crowded band conditions,2,
1,58,Regulations,After qualifying and gaining a General Amateur Operator Certificate of Competency you are permitted to:,operate on any frequency in the entire radio spectrum,first operate for three months on amateur radio bands below 5 MHz and bands above 25 MHz to log fifty or more contacts,ignore published bandplans,make frequent tune-up transmissions at 10 MHz,1,
1,59,Regulations,Morse code is permitted for use by:,only operators who have passed a Morse code test,those stations with computers to decode it,any amateur radio operator,only those stations equipped for headphone reception,2,
1,60,Regulations,As a New Zealand amateur radio operator you may communicate with:,only amateur stations within New Zealand,only stations running more than 500w PEP output,only stations using the same transmission mode,other amateur stations world-wide,3,
1,61,Regulations,As a New Zealand amateur radio operator you:,must regularly operate using dry batteries,should use shortened antennas,may train for and support disaster relief activities,must always have solar-powered equipment in reserve,2,
1,62,Regulations,Your General Amateur Operator Certificate of Competency permits you to:,work citizen band stations,establish and operate an earth station in the amateur satellite service,service commercial radio equipment over 1 kW output,re-wire fixed household electrical supply mains,1,
1,63,Regulations,You hear a station using the callsign “VK3XYZ stroke ZL” on your local VHF repeater. This is:,a callsign not authorised for use in New Zealand,a confused illegal operator,the station of an overseas visitor,probably an unlicensed person using stolen equipment,2,
1,64,Regulations,The abbreviation “HF” refers to the radio spectrum between:,2 MHz and 10 MHz,3 MHz and 30 MHz,20 MHz and 200 MHz,30 MHz and 300 MHz,1,
1,65,Regulations,Bandplans showing the transmission modes for New Zealand amateur radio bands are developed and published for the mutual respect and advantage of all operators:,to ensure that your operations do not impose problems on other operators and that their operations do not impact on you,to keep experimental developments contained,to reduce the number of modes in any one band,to keep overseas stations separate from local stations,0,
1,66,Regulations,The abbreviation “VHF” refers to the radio spectrum between:,2 MHz and 10 MHz,3 MHz and 30 MHz,30 MHz and 300 MHz,200 MHz and 2000 MHz,2,
1,67,Regulations,An amateur radio operator must be able to:,converse in the languages shown on the Certificate of Competency,read Morse code at 12 words-per-minute,monitor standard frequency transmissions,verify that transmissions are within an authorised frequency band,3,
1,68,Regulations,An amateur station may be closed down at any time by:,a demand from an irate neighbour experiencing television interference,"a demand from an authorised official of the Ministry of Business, Innovation, and Employment",an official from your local council,anyone until your aerials are made less unsightly,1,
1,69,Regulations,A General Amateur Operator Certificate of Competency:,can never be revoked,gives a waiver over copyright,does not confer on its holder a monopoly on the use of any frequency or band,can be readily transferred,2,
1,70,Regulations,A person in distress:,must use correct communication procedures,may use any means available to attract attention,must give position with a grid reference,must use allocated safety frequencies,1,
2,1,Frequencies,"Amateur stations are often regarded as ""frequency agile"". This means:",operation is limited to frequency modulation,operators can choose to operate anywhere on a shared band,a bandswitch is required on all transceivers,on a shared band operators can change frequency to avoid interfering,3,
2,2,Frequencies,A new amateur radio operator is permitted to:,operate on all amateur bands other than VHF at least weekly using a computer for log-keeping,operate only on specified amateur bands for 3 months logging at least 50 contacts and retaining the log book for at least one year for possible official inspection,operate only on one fixed frequency in the amateur bands between 5 and 25 MHz for 6 months and then present the log book for official inspection,operate on amateur bands between 5 and 25 MHz as and when the operator chooses,1,
2,3,Frequencies,The frequency limits of the “80 metre band” are:,3.50 to 4.0 MHz,3.50 to 3.90 MHz,3.50 to 3.85 MHz,3.6 to 3.9 MHz,1,
2,4,Frequencies,In New Zealand the frequency limits of the “40 metre band” are:,7.00 to 7.10 MHz,7.00 to 7.15 MHz,7.00 to 7.30 MHz,7.10 to 7.40 MHz,2,
2,5,Frequencies,The frequency limits of the “20 metre band” are:,14.00 to 14.10 MHz,14.00 to 14.45 MHz,14.00 to 14.50 MHz,14.00 to 14.35 MHz,3,
2,6,Frequencies,The frequency limits of the “15 metre band” are:,21.00 to 21.35 MHz,21.00 to 21.40 MHz,21.00 to 21.45 MHz,21.00 to 21.50 MHz,2,
2,7,Frequencies,The frequency limits of the “10 metre band” are:,28.00 to 28.35 MHz,28.00 to 28.40 MHz,28.00 to 29.00 MHz,28.00 to 29.70 MHz,3,
2,8,Frequencies,The frequency limits of the “2 metre band” are:,144 to 149 MHz,144 to 148 MHz,146 to 148 MHz,144 to 150 MHz,1,
2,9,Frequencies,The frequency limits of the “70 centimetre band” are:,430 to 440 MHz,430 to 450 MHz,435 to 438 MHz,430 to 460 MHz,0,
2,10,Frequencies,The published bandplans for the New Zealand amateur bands:,"are determined by the Ministry of Business, Innovation and Employment",change at each equinox,limit the operating frequencies of high-power stations,were developed by NZART in the interests of all radio amateurs,3,
2,11,Frequencies,Operation on the 130 to 190 kHz band requires:,a vertical half-wave antenna,special permission to operate in daylight hours,power output limited to 5 watt e.i.r.p. maximum,receivers with computers with sound cards,2,
2,12,Frequencies,Two bands where amateur satellites may operate are,28.0 to 29.7 MHz and 144.0 to 146.0 MHz,21.0 to 21.1 MHz and 146.0 to 148.0 MHz,3.5 to 3.8 MHz and 7.0 to 7.1 MHz,7.1 to 7.3 MHz and 10.1 to 10.15 MHz,0,
2,13,Frequencies,The amateur service is authorised to share a portion of which of the following bands that are heavily used by non-amateur devices:,2400 to 2500 MHz,1240 to 1300 MHz,144 to 148 MHz,28 to 29.7 MHz,0,
2,14,Frequencies,The following amateur radio band is shared with other services:,14.0 to 14.35 MHz,7.2 to 7.3 MHz,18.068 to 18.168 MHz,144.0 to 146.0 MHz,1,
2,15,Frequencies,The frequency band 146 to 148 MHz is:,shared with other communication services,allocated exclusively for police communications,exclusive to repeater operation,reserved for emergency communications,0,
2,16,Frequencies,The following amateur radio band is shared with another service in New Zealand:,51 to 54 MHz,144 to 146 MHz,7.0 to 7.1 MHz,24.89 to 24.99 MHz,0,
2,17,Frequencies,The published New Zealand amateur radio bandplans are:,obligatory for all amateur radio operators to observe,"recommended, and all amateur radio operators should follow them",to show where distant stations can be worked,for tests and experimental purposes only,1,
2,18,Frequencies,The following band is allocated to New Zealand amateur radio operators on a primary basis:,3.5 to 3.9 MHz,10.1 to 10.15 MHz,146 to 148 MHz,21 to 21.45 MHz,3,
2,19,Frequencies,"When the Amateur Service is a secondary user of a band and another service is the primary user, this means:","nothing at all, all users have equal rights to operate",amateurs may only use the band during emergencies,the band may be used by amateurs provided they do not cause harmful interference to primary users,you may increase transmitter power to overcome any interference caused by primary users,2,
2,20,Frequencies,This rule applies if two amateur radio stations want to use the same frequency:,the operator with the newer qualification must yield the frequency to the more experienced operator,the station with the lower power output must yield the frequency to the station with the higher power output,"both stations have an equal right to operate on the frequency, the second-comer courteously giving way after checking that the frequency is in use",stations in ITU Regions 1 and 2 must yield the frequency to stations in Region 3,2,
3,1,Electronics Fundamentals,The element Silicon is:,a conductor,an insulator,a superconductor,a semiconductor,3,
3,2,Electronics Fundamentals,An element which falls somewhere between being an insulator and a conductor is called a:,P-type conductor,intrinsic conductor,semiconductor,N-type conductor,2,
3,3,Electronics Fundamentals,In an atom:,the protons and the neutrons orbit the nucleus in opposite directions,the protons orbit around the neutrons,the electrons orbit the nucleus,the electrons and the neutrons orbit the nucleus,2,
3,4,Electronics Fundamentals,An atom that loses an electron becomes:,a positive ion,an isotope,a negative ion,a radioactive atom,0,
3,5,Electronics Fundamentals,An electric current passing through a wire will produce around the conductor:,an electric field,a magnetic field,an electrostatic field,nothing,1,
3,6,Electronics Fundamentals,These magnetic poles repel:,unlike,like,positive,negative,1,
3,7,Electronics Fundamentals,A common use for a magnet is in:,A computer speaker,An optical mouse,A keyboard,A magnetic loop antenna,0,
3,8,Electronics Fundamentals,The better conductor of electricity is:,copper,carbon,silicon,aluminium,0,
3,9,Electronics Fundamentals,The term describing opposition to electron flow in a metallic circuit is:,current,voltage,resistance,power,2,
3,10,Electronics Fundamentals,The substance which will most readily allow an electric current to flow is:,an insulator,a conductor,a resistor,a dielectric,1,
3,11,Electronics Fundamentals,The plastic coating formed around wire is:,an insulator,a conductor,an inductor,a magnet,0,
3,12,Electronics Fundamentals,The following is a source of electrical energy:,p-channel FET,carbon resistor,germanium diode,lead acid battery,3,
3,13,Electronics Fundamentals,An important difference between a common torch battery and a lead acid battery is that only the lead acid battery:,has two terminals,contains an electrolyte,can be re-charged,can be effectively discharged,2,
3,14,Electronics Fundamentals,"As temperature increases, the resistance of a metallic conductor:",increases,decreases,remains constant,becomes negative,0,
3,15,Electronics Fundamentals,"In an n-type semiconductor, the current carriers are:",holes,electrons,positive ions,photons,1,
3,16,Electronics Fundamentals,"In a p-type semiconductor, the current carriers are:",photons,electrons,positive ions,holes,3,
3,17,Electronics Fundamentals,An electrical insulator:,lets electricity flow through it in one direction,does not let electricity flow through it,lets electricity flow through it when light shines on it,lets electricity flow through it,1,
3,18,Electronics Fundamentals,Four good electrical insulators are:,"plastic, rubber, wood, carbon","glass, wood, copper, porcelain","paper, glass, air, aluminium","glass, air, plastic, porcelain",3,
3,19,Electronics Fundamentals,Three good electrical conductors are:,"copper, gold, mica","gold, silver, wood","gold, silver, aluminium","copper, aluminium, paper",2,
3,20,Electronics Fundamentals,The name for the flow of electrons in an electric circuit is:,voltage,resistance,capacitance,current,3,
4,1,Measurement Units,The unit of impedance is the:,ampere,farad,henry,ohm,3,
4,2,Measurement Units,One kilohm is:,10 ohm,0.01 ohm,0.001 ohm,1000 ohm,3,
4,3,Measurement Units,One kilovolt is equal to:,10 volt,100 volt,1000 volt,"10,000 volt",2,
4,4,Measurement Units,One quarter of one ampere may be written as:,250 microampere,0.5 ampere,0.25 milliampere,250 milliampere,3,
4,5,Measurement Units,The watt is the unit of:,power,magnetic flux,electromagnetic field strength,breakdown voltage,0,
4,6,Measurement Units,The voltage 'two volt' is also:,2000 mV,2000 kV,2000 uV,2000 MV,0,
4,7,Measurement Units,The unit for potential difference between two points in a circuit is the:,ampere,volt,ohm,coulomb,1,
4,8,Measurement Units,Impedance is a combination of:,reactance with reluctance,resistance with conductance,resistance with reactance,reactance with radiation,2,
4,9,Measurement Units,One mA is:,one millionth of one ampere,one thousandth of one ampere,one tenth of one ampere,one millionth of admittance,1,
4,10,Measurement Units,The unit of resistance is the:,farad,watt,ohm,resistor,2,
5,1,Ohm's Law,The voltage across a resistor carrying current can be calculated using the formula:,E = I + R  [voltage equals current plus resistance],E = I - R  [voltage equals current minus resistance],E = I x R  [voltage equals current times resistance],E = I / R  [voltage equals current divided by resistance],2,
5,2,Ohm's Law,A 10 mA current is measured in a 500 ohm resistor. The voltage across the resistor will be:,5 volt,50 volt,500 volt,5000 volt,0,
5,3,Ohm's Law,The value of a resistor to drop 100 volt with a current of 0.8 milliampere is:,125 ohm,125 kilohm,1250 ohm,1.25 kilohm,1,
5,4,Ohm's Law,I = E/R is a mathematical equation describing:,Ohm's Law,Thevenin's Theorem,Kirchoff's First Law,Kirchoff's Second Law,0,
5,5,Ohm's Law,The voltage to cause a current of 4.4 ampere in a 50 ohm resistance is:,2220 volt,220 volt,22.0 volt,0.222 volt,1,
5,6,Ohm's Law,A current of 2 ampere flows through a 16 ohm resistance. The applied voltage is:,8 volt,14 volt,18 volt,32 volt,3,
5,7,Ohm's Law,A current of 5 ampere in a 50 ohm resistance produces a potential difference of:,20 volt,45 volt,55 volt,250 volt,3,
5,8,Ohm's Law,This voltage is needed to cause a current of 200 mA to flow in a lamp of 25 ohm resistance:,5 volt,8 volt,175 volt,225 volt,0,
5,9,Ohm's Law,A current of 0.5 ampere flows through a resistance when 6 volt is applied. To change the current to 0.25 ampere the voltage must be:,increased to 12 volt,reduced to 3 volt,held constant,reduced to zero,1,
5,10,Ohm's Law,The current flowing through a resistor can be calculated by using the formula:,I = E x R  [current equals voltage times resistance],I = E / R  [current equals voltage divided by resistance],I = E + R  [current equals voltage plus resistance],I = E - R  [current equals voltage minus resistance],1,
5,11,Ohm's Law,When an 8 ohm resistor is connected across a 12 volt supply the current flow is:,12 / 8 amps,8 / 12 amps,12 - 8 amps,12 + 8 amps,0,
5,12,Ohm's Law,A circuit has a total resistance of 100 ohm and 50 volt is applied across it. The current flow will be:,50 mA,500 mA,2 ampere,20 ampere,1,
5,13,Ohm's Law,The following formula gives the resistance of a circuit:,R = I / E  [resistance equals current divided by voltage],R = E x I  [resistance equals voltage times current,R = E / R  [resistance equals voltage divided by resistance],R = E / I  [resistance equals voltage divided by current],3,
5,14,Ohm's Law,A resistor with 10 volt applied across it and passing a current of 1 mA has a value of:,10 ohm,100 ohm,1 kilohm,10 kilohm,3,
5,15,Ohm's Law,"If a 3 volt battery causes 300 mA to flow in a circuit, the circuit resistance is:",10 ohm,9 ohm,5 ohm,3 ohm,0,
5,16,Ohm's Law,A current of 0.5 ampere flows through a resistor when 12 volt is applied. The value of the resistor is:,6 ohms,12.5 ohms,17 ohms,24 ohms,3,
5,17,Ohm's Law,The resistor which gives the greatest opposition to current flow is:,230 ohm,1.2 kilohm,1600 ohm,0.5 megohm,3,
5,18,Ohm's Law,The ohm is the unit of:,supply voltage,electrical pressure,current flow,electrical resistance,3,
5,19,Ohm's Law,"If a 12 volt battery supplies 0.15 ampere to a circuit, the circuit's resistance is:",0.15 ohm,1.8 ohm,12 ohm,80 ohm,3,
5,20,Ohm's Law,"If a 4800 ohm resistor is connected to a 12 volt battery, the current flow is:",2.5 mA,25 mA,40 A,400 A,0,
6,1,Resistance,The total resistance in a parallel circuit:,is always less than the smallest resistance,depends upon the voltage drop across each branch,could be equal to the resistance of one branch,depends upon the applied voltage,0,
6,2,Resistance,"Two resistors are connected in parallel and are connected across a 40 volt battery. If each resistor is 1000 ohms, the total battery current is:",40 ampere,40 milliampere,80 ampere,80 milliampere,3,
6,3,Resistance,The total current in a parallel circuit is equal to the:,current in any one of the parallel branches,sum of the currents through all the parallel branches,applied voltage divided by the value of one of the resistive elements,source voltage divided by the sum of the resistive elements,1,
6,4,Resistance,One way to operate a 3 volt bulb from a 9 volt supply is to connect it in:,series with the supply,parallel with the supply,series with a resistor,parallel with a resistor,2,
6,5,Resistance,"You can operate this number of identical lamps, each drawing a current of 250 mA, from a 5A supply:",50,30,20,5,2,
6,6,Resistance,Six identical 2-volt bulbs are connected in series. The supply voltage to cause the bulbs to light normally is:,12 V,1.2 V,6 V,2 V,0,
6,7,Resistance,This many 12 volt bulbs can be arranged in series to form a string of lights to operate from a 240 volt power supply:,12 x 240,240 + 12,240 - 12,240 / 12,3,
6,8,Resistance,"Three 10,000 ohm resistors are connected in series across a 90 volt supply. The voltage drop across one of the resistors is:",30 volt,60 volt,90 volt,15.8 volt,0,
6,9,Resistance,Two resistors are connected in parallel. R1 is 75 ohm and R2 is 50 ohm. The total resistance of this parallel circuit is:,10 ohm,70 ohm,30 ohm,40 ohm,2,
6,10,Resistance,A dry cell has an open circuit voltage of 1.5 volt. When supplying a large current the voltage drops to 1.2 volt. This is due to the cell's:,internal resistance,voltage capacity,electrolyte becoming dry,current capacity,0,
6,11,Resistance,A 6 ohm resistor is connected in parallel with a 30 ohm resistor. The total resistance of the combination is:,5 ohm,8 ohm,24 ohm,35 ohm,0,
6,12,Resistance,The total resistance of several resistors connected in series is:,less than the resistance of any one resistor,greater than the resistance of any one resistor,equal to the highest resistance present,equal to the lowest resistance present,1,
6,13,Resistance,Five 10 ohm resistors connected in series give a total resistance of:,1 ohm,5 ohms,10 ohms,50 ohms,3,
6,14,Resistance,"Resistors of 10, 270, 3900, and 100 ohm are connected in series. The total resistance is:",9 ohm,3900 ohm,4280 ohm,10 ohm,2,
6,15,Resistance,This combination of series resistors could replace a single 120 ohm resistor:,five 24 ohm,six 22 ohm,two 62 ohm,five 100 ohm,0,
6,16,Resistance,"If a 2.2 megohm and a 100 kilohm resistor are connected in series, the total resistance is:",2.1 megohm,2.11 megohm,2.21 megohm,2.3 megohm,3,
6,17,Resistance,"If ten resistors of equal value R are wired in parallel, the total resistance is:",R,10R,10/R,R/10,3,
6,18,Resistance,The total resistance of four 68 ohm resistors wired in parallel is:,12 ohm,17 ohm,34 ohm,272 ohm,1,
6,19,Resistance,"Resistors of 68 ohm, 47 kilohm, 560 ohm and 10 ohm are connected in parallel. The total resistance is:",less than 10 ohm,between 68 and 560 ohm,between 560 and and 47 kilohm,greater than 47 kilohm,0,
6,20,Resistance,The following resistor combination can most nearly replace a single 150 ohm resistor:,four 47 ohm resistors in parallel,five 33 ohm resistors in parallel,three 47 ohm resistors in series,five 33 ohm resistors in series,2,
6,21,Resistance,Two 120 ohm resistors are arranged in parallel to replace a faulty resistor. The faulty resistor had an original value of:,15 ohm,30 ohm,60 ohm,120 ohm,2,
6,22,Resistance,Two resistors are in parallel. Resistor A carries twice the current of resistor B which means that:,A has half the resistance of B,B has half the resistance of A,the voltage across A is twice that across B,the voltage across B is twice that across A,0,
6,23,Resistance,The smallest resistance that can be made with five 1 k ohm resistors is:,50 ohm by arranging them in series,50 ohm by arranging them in parallel,200 ohm by arranging them in series,200 ohm by arranging them in parallel,3,
6,24,Resistance,The following combination of 28 ohm resistors has a total resistance of 42 ohm:,three resistors in series,three resistors in parallel,"a combination of two resistors in parallel, then placed in series with another resistor","a combination of two resistors in parallel, then placed in series with another two in parallel",2,
6,25,Resistance,Two 100 ohm resistors connected in parallel are wired in series with a 10 ohm resistor. The total resistance of the combination is:,60 ohms,180 ohms,190 ohms,210 ohms,0,
